,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
42909,OUTSOLE,1062.460833
42910,OUTSOLE,1046.295833
20247,OUTSOLE,535.2291667
20517,OUTSOLE,532.9522222
20712,OUTSOLE,532.4994444
37315,OUTSOLE,519.0438889
37454,OUTSOLE,517.7755556
37680,OUTSOLE,516.7741667
24154,OUTSOLE,512.3933333
24163,OUTSOLE,510.9544444
23685,OUTSOLE,509.6922222
38135,OUTSOLE,503.3580556
36800,OUTSOLE,501.7277778
37051,OUTSOLE,500.5569444
29522,OUTSOLE,493.3486111
30103,OUTSOLE,492.6038889
30104,OUTSOLE,492.6038889
34678,OUTSOLE,490.3244444
3408,OUTSOLE,461.1394444
10785,OUTSOLE,455.4897222
10786,OUTSOLE,455.4897222
3717,OUTSOLE,445.2436111
20519,OUTSOLE,442.5044444
3832,OUTSOLE,442.3244444
20563,OUTSOLE,442.3091667
3833,OUTSOLE,439.9863889
30640,OUTSOLE,439.6577778
43847,OUTSOLE,429.9675
32272,OUTSOLE,421.3052778
3782,OUTSOLE,418.7141667
3783,OUTSOLE,416.8225
3829,OUTSOLE,413.9619444
17808,OUTSOLE,405.1772222
27790,OUTSOLE,402.8975
13723,OUTSOLE,396.57
13724,OUTSOLE,396.5619444
39449,OUTSOLE,393.2941667
20520,OUTSOLE,387.3080556
28409,OUTSOLE,382.8077778
36667,OUTSOLE,380.4711111
3411,OUTSOLE,375.3733333
3781,OUTSOLE,370.4036111
3463,OUTSOLE,368.8752778
17883,OUTSOLE,366.5172222
33870,OUTSOLE,365.7380556
36571,OUTSOLE,365.2633333
22184,OUTSOLE,365.2258333
36500,OUTSOLE,365.2063889
22332,OUTSOLE,365.1458333
29168,OUTSOLE,364.8641667
34717,OUTSOLE,364.7575
34718,OUTSOLE,364.7530556
37672,OUTSOLE,364.3872222
34856,OUTSOLE,363.4436111
22260,OUTSOLE,358.4441667
1483,OUTSOLE,358.3930556
1486,OUTSOLE,358.3841667
22316,OUTSOLE,357.4094444
23329,OUTSOLE,357.3061111
1573,OUTSOLE,356.9702778
1574,OUTSOLE,356.9702778
1575,OUTSOLE,356.9702778
1625,OUTSOLE,356.5208333
25668,OUTSOLE,353.7911111
26023,OUTSOLE,352.0358333
38981,OUTSOLE,350.7458333
22913,OUTSOLE,349.1069444
28213,OUTSOLE,348.8683333
25722,OUTSOLE,348.6777778
23583,OUTSOLE,348.0719444
27737,OUTSOLE,347.5833333
22996,OUTSOLE,347.3625
37666,OUTSOLE,346.1533333
37667,OUTSOLE,346.1533333
37676,OUTSOLE,346.0927778
37677,OUTSOLE,346.0927778
37824,OUTSOLE,346.0872222
37665,OUTSOLE,346.0411111
37671,OUTSOLE,345.9761111
37674,OUTSOLE,345.9297222
37673,OUTSOLE,345.9158333
37675,OUTSOLE,345.875
37830,OUTSOLE,345.6775
22567,OUTSOLE,345.6713889
37829,OUTSOLE,345.4711111
37837,OUTSOLE,345.4072222
31284,OUTSOLE,345.3288889
37853,OUTSOLE,345.3141667
37849,OUTSOLE,345.255
37858,OUTSOLE,345.2305556
37847,OUTSOLE,345.1983333
37859,OUTSOLE,345.1775
37850,OUTSOLE,345.1105556
27623,OUTSOLE,344.4766667
31397,OUTSOLE,344.3488889
37872,OUTSOLE,343.7613889
37882,OUTSOLE,343.7247222
37881,OUTSOLE,343.6891667
37883,OUTSOLE,343.6852778
21973,OUTSOLE,343.6372222
37884,OUTSOLE,343.5438889
38037,OUTSOLE,343.5077778
38036,OUTSOLE,343.4933333
38031,OUTSOLE,343.4719444
38032,OUTSOLE,343.3994444
38033,OUTSOLE,343.3711111
38034,OUTSOLE,343.3711111
38035,OUTSOLE,343.3711111
38038,OUTSOLE,343.3377778
38045,OUTSOLE,343.2594444
38048,OUTSOLE,343.2044444
38049,OUTSOLE,343.2044444
38046,OUTSOLE,343.1988889
