   ,LOT_NO,COMPONENT,SIZE,DATE_IN,IN_QTY,DATE_OUT,OUT_QTY,TICKET_ID,STOCK_NO
1,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
2,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
3,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
4,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
5,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
6,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
7,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
8,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
9,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
10,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
11,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
12,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
13,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
14,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
15,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
16,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
17,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
18,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
19,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
20,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
21,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
22,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
23,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
24,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
25,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
26,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
27,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
28,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
29,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
30,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
31,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
32,S0G24,MS-PH,9,2020/7/10 4:17,6,2020/7/10 4:18,6,T001007320,PH
