MODEL,1,2,3,4,5,6,7,8,9,10,11,12
10A AJ3-PU M/S,,,,,,,,,,,,10
10A AJ3-RB O/S,,,,,,,,,,,,10
11T AJ3 OG STOCKFIT BOTTOM,8325,,,,,,,,,,,
12T AJ3 OG STOCKFIT BOTTOM,27,,,,,,,,,,,
12T AJ4 MIDSOLE,,,,,,,,,,72,,
12T AJ4 OUTSOLE,,,,,,,,,,72,,
AIR FORCE 1 '07 / AMM,,,,,,272,,8,3865,2113,,
AIR FORCE 1 '07 LV8,,,,,,,,,,20913,4889,7
AIR FORCE MAX,,,,180,,,580,2808,1704,,,
AIR FORCE MAX PRM,163,,,,,,8684,3491,828,366,,
AIR JORDAN 10 RETRO,194487,6950,306,,,,,4,8,81110,13688,76659
AIR JORDAN 10 RETRO HOH,2,,,,,,,230,,6,,6
AIR JORDAN 11 RETRO,,,,,,,35441,86400,48921,6504,,
AIR JORDAN 12 RETRO,188,1,36,2666,13056,39145,207766,131642,95173,12047,,4
AIR JORDAN 12 RETRO LOW,900,,,,,,,,,,,
AIR JORDAN 12 RETRO PSNY,,,,1500,1230,,,,,,,
AIR JORDAN 12 RTR MICHIGAN NRG,,,30038,,,,,,,,,
AIR JORDAN 13 RETRO,21877,,3840,41329,295898,56776,20242,40632,68260,30768,,
AIR JORDAN 14 RETRO,,55179,31238,27920,,,,,,,,
AIR JORDAN 14 RETRO DB,,,,,,,,3,42,7510,,
AIR JORDAN 14 RETRO SE,9926,12030,24674,31853,,,,14969,54673,3108,,
AIR JORDAN 16 RETRO,,,,4,,,,,,,,
AIR JORDAN 16 RETRO QAM,,,,,78,3,33,5,,,,
AIR JORDAN 2 RETRO EP,1701,,,,21,,,,,,,
AIR JORDAN 2 RETRO JUST DON,,,221,23,,,,,,,,
AIR JORDAN 3 RETRO,46354,67312,44433,71909,44967,16447,2430,735,104007,1828,4231,24881
AIR JORDAN 3 RETRO FLYKNIT,275,,,2202,3821,28204,2328,,,,17,
AIR JORDAN 3 RETRO JTH NRG,11,520,318,,346,23306,42,,,,,4806
AIR JORDAN 3 RETRO NRG,6535,2620,,,,,,,,3825,3363,8970
AIR JORDAN 3 RETRO OG,46718,,,,,4,,13553,6455,190970,128808,58296
AIR JORDAN 3 RETRO SE,,,,,,,,,74069,7452,,
AIR JORDAN 3 RETRO TH,,,,20565,48744,112063,7582,,,,,
AIR JORDAN 3 RETRO TINKER NRG,17433,12396,64999,10396,50,,,,,,,14446
AIR JORDAN 4 RETRO,374749,214334,252676,261295,111174,115407,408,124,1890,81908,87166,518444
AIR JORDAN 4 RETRO FLYKNIT,,3541,28736,10396,,,,,,,,240
AIR JORDAN 4 RETRO KAWS,8021,6,,4,124,,,132,10119,50,,
AIR JORDAN 4 RETRO LASER,2,,,,,,,,,,101,
AIR JORDAN 4 RETRO LEVIS NRG,17075,15475,,2145,,,10,34,6617,383,4814,6541
AIR JORDAN 4 RETRO NRG,52293,881,11509,25172,21772,,,,,,,
AIR JORDAN 4 RETRO SE,112440,,,,,16,89732,53531,202601,35752,17297,45696
AIR JORDAN 4 RETRO SNGL DY,,,,,,,2023,30288,5836,33612,,
AIR JORDAN 4 RETRO WNTR,,,,,,,45911,108665,23141,19902,10707,
AIR JORDAN 7 RETRO PATTA,22643,563,12427,3000,,,,,,,,
AIR JORDAN 7 RETRO SE,47771,,,,,,,,,,,18167
AIR JORDAN 7 RETRO SP,6251,6890,28561,6000,,,,,,,,
AIR JORDAN 8 RETRO,,,,,,,3,,,,,
AIR JORDAN 8 RETRO N7,,,,,,,,12635,30,,,
AIR JORDAN 8 RETRO Q54,,,6001,1094,,,,,,,,
AIR JORDAN 8 RETRO SP,20451,7239,1145,4300,,,,,,,,
AIR JORDAN DUB ZERO,6313,,62,,,,,,1302,32806,11334,27414
AIR JORDAN LEGACY 312,,,,,,13088,72251,58190,26340,48569,81098,42182
AIR JORDAN LEGACY 312 NRG,,,,28478,18439,5491,27363,,,4,,
AIR JORDAN XX3,,,,4,,3,,,,,,
AIR MAX SPEED TURF,10092,,3768,31270,38228,25768,5505,13863,87526,47136,24989,2208
AIR ZOOM GENERATION,,,8,,,,,,,,,
AIR ZOOM GENERATION AS QS,905,,,,,,,,,,,
AIR ZOOM GENERATION ASG QS,4038,,,,,,,,1,,14,6226
AIR ZOOM GENERATION QS,,,,,731,6711,2724,1502,6470,2471,,
AIR ZOOM GENERATION SVSM QS,,3229,4808,42,,,,,,,,
AJ10- IP M/S,,,,,,,,,,,,198
AJ10- RB O/S,,,,,,,,,,,,198
AJ3-SCKLINER LACE,,100,,,,,,,,,,
AJ3-SOCKLINER LACE,,200,,,,,,,,,,
JORDAN 6 RINGS,150138,133373,19799,44229,7800,,,,,,,5664
JORDAN COURTSIDE 23,33622,10410,6546,47927,77898,34024,115540,78430,17383,20244,60331,24505
JORDAN HORIZON LOW,,,25898,20760,,23245,11216,4110,10088,738,,
JORDAN JUMPMAN PRO,10057,41004,10278,,,,,,,,,
JORDAN SPIZIKE,,,10052,22797,120800,94365,135328,111696,155850,5271,,
JORDAN SUPER.FLY 5,,,8,,,,,,,,,
JORDAN SUPER.FLY 5 PO,29133,17405,1364,,,,,,,,,
JORDAN SUPER.FLY 5 PO X,3270,13400,84,,,,,,,,,
W NIKE AIR MAX 270 XX,9286,,,,,,,,,,138,383
WMNS AIR JORDAN 4 RETRO,43041,,,10006,23221,13160,,,,250,10901,41210
WMNS AIR JORDAN 4 RETRO NRG,,,,,,,,30,44020,51234,22120,650
